Ticker SYMBOL,資料日期,單月營收年增率(%),毛利率(%),營業利益率(%),單季EPS,ROE(%),稅後淨利率(%),負債比率(%),本業獲利比(%),預估殖利率(%),Revenue_Growth_Score,Profitability_Score,BalanceSheet_Score,Dividend_Score,Quality_Total_Score,資料來源
6807.TW,2025-12-31,,18.39,6.02,,1.9,4.64,29.26,85.23,595.0,0.0,0.1925888888888889,1.0,1.0,0.4674061111111111,fundamentals_clean
6830.TW,2025-12-31,,28.58,4.99,,-0.12,-0.62,51.31,259.59,18.0,0.0,0.18089999999999998,0.7868999999999999,1.0,0.41003999999999996,fundamentals_clean
6831.TW,2025-12-31,,23.32,8.09,,3.99,11.97,43.84,87.84,78.0,0.0,0.3323027777777778,0.8615999999999999,1.0,0.4817059722222222,fundamentals_clean
6834.TW,2025-12-31,,16.34,-0.67,,1.6,6.92,35.67,-7.79,160.0,0.0,0.1495,0.44329999999999997,1.0,0.31315,fundamentals_clean
6835.TW,2025-12-31,,17.28,-1.65,,0.15,0.52,54.87,150.18,524.0,0.0,0.07472222222222223,0.7513000000000001,1.0,0.3639777777777778,fundamentals_clean
6838.TW,2025-12-31,,15.75,-1220.71,,-3.29,-1486.83,29.65,81.96,,0.0,0.059722222222222225,1.0,0.0,0.27090277777777777,fundamentals_clean
6854.TW,2025-12-31,,54.55,17.13,,6.02,47.82,24.98,35.81,,0.0,0.68405,0.63175,0.0,0.397355,fundamentals_clean
6861.TW,2025-12-31,,23.71,6.15,,3.77,8.42,43.54,57.72,140.0,0.0,0.27069444444444446,0.6789333333333334,1.0,0.41447638888888894,fundamentals_clean
6862.TW,2025-12-31,,37.99,18.52,,3.81,22.59,32.94,66.55,376.0,0.0,0.6184777777777778,0.8585166666666666,1.0,0.5810963888888889,fundamentals_clean
6863.TW,2025-12-31,,10.28,-1.37,,0.06,0.35,35.7,-45.36,621.0,0.0,0.033708333333333326,0.44299999999999995,1.0,0.27254791666666667,fundamentals_clean
6869.TW,2025-12-31,,14.34,2.45,,-14.3,-39.66,65.34,-6.61,589.0,0.0,0.0763888888888889,0.14659999999999995,1.0,0.2133861111111111,fundamentals_clean
6873.TW,2025-12-31,,26.3,17.49,,2.41,8.46,63.18,145.39,560.0,0.0,0.3989833333333333,0.6682,1.0,0.4566941666666666,fundamentals_clean
6885.TW,2025-12-31,,-3.29,-7200.66,,-9.21,-6245.69,4.05,108.19,,0.0,0.0,1.0,0.0,0.25,fundamentals_clean
6887.TW,2025-12-31,,25.54,13.6,,5.1,10.38,37.46,105.76,882.0,0.0,0.38111111111111107,0.9254,1.0,0.5147388888888889,fundamentals_clean
6890.TW,2025-12-31,,15.78,9.81,,3.83,9.12,30.29,84.5,536.0,0.0,0.2719888888888889,0.9971,1.0,0.4944711111111111,fundamentals_clean
6901.TW,2025-12-31,,,,,-0.16,,1.47,327.94,,0.0,0.0,1.0,0.0,0.25,fundamentals_clean
6902.TW,2025-12-31,,88.9,14.63,,6.6,15.36,45.74,104.09,,0.0,0.6083000000000001,0.8426,0.0,0.423555,fundamentals_clean
6906.TW,2025-12-31,,88.97,34.62,,5.88,35.98,18.97,83.93,490.0,0.0,0.761,1.0,1.0,0.66635,fundamentals_clean
6908.TW,2025-12-31,,10.77,1.19,,0.73,0.77,53.06,349.08,314.0,0.0,0.053580555555555555,0.7694,1.0,0.36110319444444444,fundamentals_clean
6909.TW,2025-12-31,,63.58,33.28,,5.78,28.87,13.99,93.31,206.0,0.0,0.75975,1.0,1.0,0.6659125,fundamentals_clean
6914.TW,2025-12-31,,21.11,14.36,,3.97,10.08,64.22,114.43,404.0,0.0,0.3591,0.6577999999999999,1.0,0.44013499999999994,fundamentals_clean
6916.TW,2025-12-31,,24.7,-3.84,,-3.03,-6.2,57.17,54.22,162.0,0.0,0.10944444444444444,0.5134666666666667,1.0,0.31667222222222224,fundamentals_clean
6918.TW,2025-12-31,,66.03,23.44,,3.08,18.14,18.35,91.34,637.0,0.0,0.7111500000000001,1.0,1.0,0.6489025,fundamentals_clean
6919.TW,2025-12-31,,72.58,-972.46,,0.85,646.17,0.67,-150.5,,0.0,0.5,0.5,0.0,0.3,fundamentals_clean
6921.TW,2025-12-31,,57.55,5.2,,1.56,10.05,23.68,51.77,,0.0,0.42762500000000003,0.76475,0.0,0.34085624999999997,fundamentals_clean
6923.TW,2025-12-31,,40.72,32.5,,3.36,29.54,37.14,91.89,538.0,0.0,0.6984444444444444,0.9286,1.0,0.6266055555555555,fundamentals_clean
6924.TW,2025-12-31,,26.23,14.01,,8.86,11.95,46.3,91.68,692.0,0.0,0.45566944444444446,0.837,1.0,0.5187343055555556,fundamentals_clean
6928.TW,2025-12-31,,31.59,-22.82,,-2.66,-15.91,23.08,106.31,108.0,0.0,0.14772222222222223,1.0,1.0,0.4517027777777778,fundamentals_clean
6931.TW,2025-12-31,,15.66,7.74,,3.47,13.68,54.72,48.2,143.0,0.0,0.30762222222222224,0.4878,1.0,0.3796177777777778,fundamentals_clean
6933.TW,2025-12-31,,14.29,4.19,,2.5,3.27,42.65,111.98,143.0,0.0,0.13438611111111112,0.8735,1.0,0.4154101388888889,fundamentals_clean
6934.TW,2025-12-31,,64.96,5.9,,2.42,8.43,34.85,70.04,,0.0,0.414375,0.8685,0.0,0.36215625,fundamentals_clean
6936.TW,2025-12-31,,33.29,12.98,,3.35,12.14,18.93,88.02,489.0,0.0,0.43871666666666664,1.0,1.0,0.5535508333333333,fundamentals_clean
6937.TW,2025-12-31,,42.29,15.0,,2.09,10.13,23.58,117.17,87.0,0.0,0.4837916666666666,1.0,1.0,0.5693270833333333,fundamentals_clean
6944.TW,2025-12-31,,23.91,18.6,,9.45,14.16,48.17,99.06,179.0,0.0,0.5236805555555555,0.8183,1.0,0.5378631944444444,fundamentals_clean
6949.TW,2025-12-31,,22.21,-2869.75,,-8.97,-2503.82,19.8,104.14,,0.0,0.09561111111111112,1.0,0.0,0.2834638888888889,fundamentals_clean
6951.TW,2025-12-31,,60.13,43.71,,4.5,20.34,29.26,171.35,483.0,0.0,0.75,1.0,1.0,0.6625,fundamentals_clean
6952.TW,2025-12-31,,14.42,5.36,,2.44,7.86,53.79,121.89,526.0,0.0,0.20418333333333333,0.7621,1.0,0.41198916666666663,fundamentals_clean
