Ticker SYMBOL,公司名稱,產業類別,產業類別名稱,資料年月日,單月營收年增率(%)
6753.TW,龍德造船工業股份有限公司,15,航運業,2026-03-01,18.41
6754.TW,匯僑室內裝修設計股份有限公司,38,居家生活,2026-03-01,0.32
6756.TW,威鋒電子股份有限公司,24,半導體業,2026-03-01,16.51
6757.TW,台灣虎航股份有限公司,15,航運業,2026-03-01,27.0
6768.TW,志強國際企業股份有限公司,37,運動休閒,2026-03-01,-2.96
6770.TW,力晶積成電子製造股份有限公司,24,半導體業,2026-03-01,28.25
6771.TW,平和環保科技股份有限公司,35,綠能環保,2026-03-01,-14.72
6776.TW,展碁國際股份有限公司,29,電子通路業,2026-03-01,23.93
6781.TW,"AES Holding Co., Ltd.",28,電子零組件業,2026-03-01,25.64
6782.TW,視陽光學股份有限公司,22,生技醫療業,2026-03-01,32.36
6789.TW,采鈺科技股份有限公司,24,半導體業,2026-03-01,6.24
6790.TW,永豐餘消費品實業股份有限公司,9,造紙工業,2026-03-01,-2.42
6792.TW,詠業科技股份有限公司,27,通信網路業,2026-03-01,2.09
6794.TW,向榮生醫科技股份有限公司,22,生技醫療業,2026-03-01,-66.37
6796.TW,晉弘科技股份有限公司,22,生技醫療業,2026-03-01,8.79
6799.TW,來頡科技股份有限公司,24,半導體業,2026-03-01,0.07
6805.TW,富世達股份有限公司,28,電子零組件業,2026-03-01,95.02
6806.TW,森崴能源股份有限公司,35,綠能環保,2026-03-01,-16.29
6807.TW,峰源集團股份有限公司,38,居家生活,2026-03-01,-39.14
6830.TW,汎銓科技股份有限公司,31,其他電子業,2026-03-01,22.88
6831.TW,邁&#33834;科技股份有限公司,25,電腦及週邊設備業,2026-03-01,38.21
6834.TW,天二科技股份有限公司,28,電子零組件業,2026-03-01,32.6
6835.TW,圓裕企業股份有限公司,28,電子零組件業,2026-03-01,-2.25
6854.TW,PlayNitride Inc.,24,半導體業,2026-03-01,-29.76
6861.TW,睿生光電股份有限公司,22,生技醫療業,2026-03-01,52.61
6862.TW,三集瑞科技國際集團股份有限公司,28,電子零組件業,2026-03-01,-16.93
6863.TW,Arizon RFID Technology,27,通信網路業,2026-03-01,7.1
6869.TW,雲豹能源科技股份有限公司,35,綠能環保,2026-03-01,99.33
6873.TW,泓德能源科技股份有限公司,35,綠能環保,2026-03-01,10.6
6885.TW,全福生物科技股份有限公司,22,生技醫療業,2026-03-01,3548.48
6887.TW,寶綠特資源再生工程股份有限公司,35,綠能環保,2026-03-01,-32.59
6890.TW,來億興業股份有限公司,37,運動休閒,2026-03-01,-20.59
6901.TW,鑽石生技投資股份有限公司,20,其他業,2026-03-01,86.87
6902.TW,走著瞧股份有限公司,36,數位雲端,2026-03-01,26.12
6906.TW,現觀科技股份有限公司,36,數位雲端,2026-03-01,-0.58
6908.TW,宏碁遊戲股份有限公司,29,電子通路業,2026-03-01,56.68
6909.TW,創控科技股份有限公司,24,半導體業,2026-03-01,-9.62
6914.TW,阜爾運通股份有限公司,20,其他業,2026-03-01,11.5
6916.TW,華凌光電股份有限公司,26,光電業,2026-03-01,17.01
6918.TW,愛派司生技股份有限公司,22,生技醫療業,2026-03-01,16.18
6921.TW,嘉雨思科技股份有限公司,24,半導體業,2026-03-01,-43.76
6923.TW,中台資源科技股份有限公司,35,綠能環保,2026-03-01,4.27
6924.TW,榮惠集團(開曼)股份有限公司,28,電子零組件業,2026-03-01,-1.98
6928.TW,攸泰科技股份有限公司,25,電腦及週邊設備業,2026-03-01,-18.16
6931.TW,青松健康股份有限公司,22,生技醫療業,2026-03-01,22.24
6933.TW,艾瑪斯科技控股股份有限公司,25,電腦及週邊設備業,2026-03-01,-12.39
6934.TW,心誠鎂行動醫電股份有限公司,22,生技醫療業,2026-03-01,-53.06
