Ticker SYMBOL,公司名稱,產業類別,資料年月日,單月營收年增率(%)
1906.TW,寶隆國際股份有限公司,9,2026-02-01,-47.65
1907.TW,永豐餘投資控股股份有限公司,9,2026-02-01,-20.63
1909.TW,榮成紙業股份有限公司,9,2026-02-01,-23.1
2002.TW,中國鋼鐵股份有限公司,10,2026-02-01,-12.93
2006.TW,東和鋼鐵企業股份有限公司,10,2026-02-01,-30.64
2007.TW,燁興企業股份有限公司,10,2026-02-01,-49.71
2008.TW,高興昌鋼鐵股份有限公司,10,2026-02-01,-36.09
2009.TW,第一伸銅科技股份有限公司,10,2026-02-01,41.89
2010.TW,春源鋼鐵工業股份有限公司,10,2026-02-01,1.07
2012.TW,春雨工廠股份有限公司,10,2026-02-01,-22.73
2013.TW,中國鋼鐵結構股份有限公司,10,2026-02-01,-9.88
2014.TW,中鴻鋼鐵股份有限公司,10,2026-02-01,-24.46
2015.TW,豐興鋼鐵股份有限公司,10,2026-02-01,-41.9
2017.TW,官田鋼鐵股份有限公司,10,2026-02-01,-2.96
2020.TW,美亞鋼管廠股份有限公司,10,2026-02-01,-34.95
2022.TW,聚亨企業股份有限公司,10,2026-02-01,47.66
2023.TW,燁輝企業股份有限公司,10,2026-02-01,-22.3
2024.TW,志聯工業股份有限公司,10,2026-02-01,-40.59
2025.TW,千興不銹鋼(股)公司,10,2026-02-01,-16.09
2027.TW,大成不銹鋼工業股份有限公司,10,2026-02-01,13.64
2028.TW,威致鋼鐵工業股份有限公司,10,2026-02-01,-35.4
2029.TW,盛餘股份有限公司,10,2026-02-01,-38.35
2030.TW,彰源企業股份有限公司,10,2026-02-01,-5.3
2031.TW,新光鋼鐵股份有限公司,10,2026-02-01,-38.59
2032.TW,新鋼工業股份有限公司,10,2026-02-01,-29.12
2033.TW,佳大世界股份有限公司,10,2026-02-01,-40.98
2034.TW,允強實業股份有限公司,10,2026-02-01,-41.42
2038.TW,海光企業股份有限公司,10,2026-02-01,-55.97
2049.TW,上銀科技股份有限公司,5,2026-02-01,-3.03
2059.TW,川湖科技股份有限公司,28,2026-02-01,31.15
2062.TW,橋椿金屬股份有限公司,38,2026-02-01,-22.71
2069.TW,運錩鋼鐵股份有限公司,10,2026-02-01,-9.13
2101.TW,南港輪胎股份有限公司,11,2026-02-01,-23.52
2102.TW,泰豐輪胎股份有限公司,11,2026-02-01,-63.83
2103.TW,台橡股份有限公司,11,2026-02-01,-17.23
2104.TW,國際中橡投資控股股份有限公司,11,2026-02-01,-22.98
2105.TW,正新橡膠工業股份有限公司,11,2026-02-01,-17.0
2106.TW,建大工業股份有限公司,11,2026-02-01,-11.79
2107.TW,厚生股份有限公司,11,2026-02-01,-47.26
2108.TW,南帝化學工業股份有限公司,11,2026-02-01,0.19
2109.TW,華豐橡膠工業股份有限公司,11,2026-02-01,-19.23
2114.TW,鑫永銓股份有限公司,11,2026-02-01,-12.37
2115.TW,六暉控股股份有限公司,12,2026-02-01,-13.43
2201.TW,裕隆汽車製造股份有限公司,12,2026-02-01,-3.6
2204.TW,中華汽車工業股份有限公司,12,2026-02-01,3.59
2206.TW,三陽工業股份有限公司,12,2026-02-01,-10.75
2207.TW,和泰汽車股份有限公司,12,2026-02-01,-15.38
2208.TW,台灣國際造船股份有限公司,15,2026-02-01,38.94
2211.TW,長榮鋼鐵股份有限公司,10,2026-02-01,-30.88
2227.TW,裕隆日產汽車股份有限公司,12,2026-02-01,-40.93
2228.TW,劍麟股份有限公司,12,2026-02-01,-5.31
2231.TW,為升電裝工業股份有限公司,12,2026-02-01,-16.66
2233.TW,宇隆科技股份有限公司,12,2026-02-01,-21.54
2236.TW,百達精密工業股份有限公司,12,2026-02-01,-1.07
2239.TW,開曼英利工業股份有限公司,12,2026-02-01,-3.14
2241.TW,艾姆勒科技股份有限公司,12,2026-02-01,45.48
2243.TW,宏旭控股股份有限公司,12,2026-02-01,739.37
2247.TW,汎德永業汽車股份有限公司,12,2026-02-01,-46.52
2248.TW,華勝汽車電子股份有限公司,12,2026-02-01,7.35
2250.TW,第一化成控股(開曼)股份有限公司,12,2026-02-01,-16.98
2254.TW,巨鎧精密工業股份有限公司,12,2026-02-01,-90.98
2258.TW,鴻華先進科技股份有限公司,12,2026-02-01,-29.99
2301.TW,光寶科技股份有限公司,25,2026-02-01,17.36
2302.TW,麗正國際科技股份有限公司,24,2026-02-01,38.91
2303.TW,聯華電子股份有限公司,24,2026-02-01,6.33
2305.TW,全友電腦股份有限公司,25,2026-02-01,34.16
2308.TW,台達電子工業股份有限公司,28,2026-02-01,31.0
2312.TW,金寶電子工業股份有限公司,31,2026-02-01,-19.38
2313.TW,華通電腦股份有限公司,28,2026-02-01,0.01
2314.TW,台揚科技股份有限公司,27,2026-02-01,3.1
2316.TW,楠梓電子股份有限公司,28,2026-02-01,-4.32
2317.TW,鴻海精密工業股份有限公司,31,2026-02-01,8.06
2321.TW,東訊股份有限公司,27,2026-02-01,-17.45
2323.TW,中環股份有限公司,26,2026-02-01,13.13
2324.TW,仁寶電腦工業股份有限公司,25,2026-02-01,-21.91
2327.TW,國巨股份有限公司,28,2026-02-01,17.97
2328.TW,廣宇科技股份有限公司,28,2026-02-01,-34.32
2329.TW,華泰電子股份有限公司,24,2026-02-01,12.21
2330.TW,台灣積體電路製造股份有限公司,24,2026-02-01,22.17
2331.TW,精英電腦股份有限公司,25,2026-02-01,66.97
2332.TW,友訊科技股份有限公司,27,2026-02-01,-1.37
2337.TW,旺宏電子股份有限公司,24,2026-02-01,59.98
2338.TW,台灣光罩股份有限公司,24,2026-02-01,-14.5
2340.TW,台亞半導體股份有限公司,24,2026-02-01,-2.76
2342.TW,台灣茂矽電子股份有限公司,24,2026-02-01,-15.28
2344.TW,華邦電子股份有限公司,24,2026-02-01,88.45
2345.TW,智邦科技股份有限公司,27,2026-02-01,82.7
2347.TW,聯強國際股份有限公司,29,2026-02-01,5.78
2348.TW,海悅國際開發股份有限公司,20,2026-02-01,239.77
2349.TW,錸德科技股份有限公司,26,2026-02-01,-22.32
2351.TW,順德工業股份有限公司,24,2026-02-01,1.74
2352.TW,佳世達科技股份有限公司,25,2026-02-01,-7.34
2353.TW,宏碁股份有限公司,25,2026-02-01,25.68
