Ticker,Direction,Regime,Structure,AI_Proba,Hist_WinRate,EV,Kelly_Pos,Score,Risk,Health
7732.TW,做空(Short),區間盤整,空方進場,0.5585,0.41,-0.18,0.0175,0.4991,樣本數不足 (0/10)，熱身中,KEEP
1615.TW,做空(Short),區間盤整,空方進場,0.5584,0.41,-0.18,0.0175,0.499,樣本數不足 (0/10)，熱身中,KEEP
1516.TW,做空(Short),趨勢空頭,空方進場,0.5584,0.41,-0.18,0.0175,0.499,樣本數不足 (0/10)，熱身中,KEEP
4441.TW,做空(Short),趨勢空頭,空方進場,0.5582,0.44,-0.12,0.0175,0.5109,樣本數不足 (0/10)，熱身中,KEEP
3059.TW,做空(Short),趨勢空頭,空方進場,0.558,0.38,-0.24,0.0174,0.4868,樣本數不足 (0/10)，熱身中,KEEP
9911.TW,做空(Short),趨勢空頭,空方進場,0.5504,0.53,0.06,0.0174,0.5423,樣本數不足 (0/10)，熱身中,KEEP
2357.TW,做空(Short),趨勢空頭,空方進場,0.5576,0.35,-0.3,0.0173,0.4746,樣本數不足 (0/10)，熱身中,KEEP
2630.TW,做空(Short),區間盤整,空方進場,0.5574,0.41,-0.18,0.0172,0.4984,樣本數不足 (0/10)，熱身中,KEEP
6916.TW,做空(Short),區間盤整,空方進場,0.5574,0.41,-0.18,0.0172,0.4984,樣本數不足 (0/10)，熱身中,KEEP
6449.TW,做空(Short),區間盤整,空方進場,0.5568,0.41,-0.18,0.017,0.4981,樣本數不足 (0/10)，熱身中,KEEP
1457.TW,做空(Short),區間盤整,空方進場,0.5566,0.41,-0.18,0.017,0.498,樣本數不足 (0/10)，熱身中,KEEP
2504.TW,做空(Short),趨勢空頭,空方進場,0.5565,0.38,-0.24,0.0169,0.4859,樣本數不足 (0/10)，熱身中,KEEP
8210.TW,做空(Short),趨勢空頭,空方進場,0.5564,0.35,-0.3,0.0169,0.4739,樣本數不足 (0/10)，熱身中,KEEP
2597.TW,做多(Long),趨勢空頭,多方進場,0.5487,0.53,0.06,0.0169,0.5412,樣本數不足 (0/10)，熱身中,KEEP
8033.TW,做空(Short),區間盤整,空方進場,0.5561,0.41,-0.18,0.0168,0.4976,樣本數不足 (0/10)，熱身中,KEEP
6116.TW,做多(Long),區間盤整,多方進場,0.5411,0.56,0.12,0.0168,0.5487,樣本數不足 (0/10)，熱身中,KEEP
6446.TW,做空(Short),趨勢空頭,空方進場,0.5558,0.47,-0.06,0.0167,0.5215,樣本數不足 (0/10)，熱身中,KEEP
8104.TW,做空(Short),區間盤整,空方進場,0.5555,0.41,-0.18,0.0166,0.4973,樣本數不足 (0/10)，熱身中,KEEP
1340.TW,做空(Short),區間盤整,空方進場,0.5554,0.47,-0.06,0.0166,0.5212,樣本數不足 (0/10)，熱身中,KEEP
2498.TW,做空(Short),區間盤整,空方進場,0.5552,0.41,-0.18,0.0166,0.4971,樣本數不足 (0/10)，熱身中,KEEP
2613.TW,做多(Long),趨勢空頭,多方進場,0.5478,0.53,0.06,0.0166,0.5407,樣本數不足 (0/10)，熱身中,KEEP
8201.TW,做空(Short),趨勢空頭,空方進場,0.5551,0.41,-0.18,0.0165,0.4971,樣本數不足 (0/10)，熱身中,KEEP
8271.TW,做空(Short),趨勢空頭,空方進場,0.5551,0.41,-0.18,0.0165,0.4971,樣本數不足 (0/10)，熱身中,KEEP
1470.TW,做空(Short),區間盤整,空方進場,0.555,0.44,-0.12,0.0165,0.509,樣本數不足 (0/10)，熱身中,KEEP
6598.TW,做空(Short),區間盤整,空方進場,0.555,0.44,-0.12,0.0165,0.509,樣本數不足 (0/10)，熱身中,KEEP
8926.TW,做空(Short),區間盤整,空方進場,0.5549,0.44,-0.12,0.0165,0.509,樣本數不足 (0/10)，熱身中,KEEP
1563.TW,做空(Short),趨勢空頭,空方進場,0.5546,0.41,-0.18,0.0164,0.4968,樣本數不足 (0/10)，熱身中,KEEP
1504.TW,做空(Short),趨勢空頭,空方進場,0.5545,0.44,-0.12,0.0164,0.5087,樣本數不足 (0/10)，熱身中,KEEP
1612.TW,做空(Short),區間盤整,空方進場,0.5542,0.41,-0.18,0.0163,0.4965,樣本數不足 (0/10)，熱身中,KEEP
1215.TW,做空(Short),趨勢空頭,空方進場,0.5541,0.47,-0.06,0.0162,0.5204,樣本數不足 (0/10)，熱身中,KEEP
4976.TW,做空(Short),區間盤整,空方進場,0.554,0.41,-0.18,0.0162,0.4964,樣本數不足 (0/10)，熱身中,KEEP
6589.TW,做多(Long),趨勢空頭,多方進場,0.5465,0.53,0.06,0.0162,0.5399,樣本數不足 (0/10)，熱身中,KEEP
6552.TW,做多(Long),區間盤整,多方進場,0.5465,0.53,0.06,0.0162,0.5399,樣本數不足 (0/10)，熱身中,KEEP
2762.TW,做空(Short),趨勢空頭,空方進場,0.5537,0.44,-0.12,0.0161,0.5082,樣本數不足 (0/10)，熱身中,KEEP
2453.TW,做空(Short),趨勢空頭,空方進場,0.5537,0.38,-0.24,0.0161,0.4842,樣本數不足 (0/10)，熱身中,KEEP
2332.TW,做多(Long),區間盤整,多方進場,0.5457,0.53,0.06,0.016,0.5394,樣本數不足 (0/10)，熱身中,KEEP
2236.TW,做空(Short),趨勢空頭,空方進場,0.5529,0.47,-0.06,0.0159,0.5198,樣本數不足 (0/10)，熱身中,KEEP
1438.TW,做空(Short),趨勢空頭,空方進場,0.5527,0.47,-0.06,0.0158,0.5196,樣本數不足 (0/10)，熱身中,KEEP
5269.TW,做空(Short),趨勢空頭,空方進場,0.5523,0.5,0.0,0.0157,0.5314,樣本數不足 (0/10)，熱身中,KEEP
