Ticker SYMBOL,產業類別,產業類別名稱,資料年月,單月營收年增率(%)
2409.TW,26,26,2026-02,-16.66
2412.TW,27,27,2026-02,2.73
2413.TW,28,28,2026-02,-23.82
2414.TW,29,29,2026-02,-12.12
2415.TW,28,28,2026-02,29.48
2417.TW,25,25,2026-02,9.51
2419.TW,27,27,2026-02,-6.94
2420.TW,28,28,2026-02,-11.12
2421.TW,28,28,2026-02,2.33
2423.TW,31,31,2026-02,6.06
2424.TW,27,27,2026-02,90.09
2425.TW,25,25,2026-02,113.51
2426.TW,26,26,2026-02,-14.78
2427.TW,30,30,2026-02,-31.93
2428.TW,28,28,2026-02,-13.4
2429.TW,26,26,2026-02,-54.46
2430.TW,29,29,2026-02,2.44
2431.TW,28,28,2026-02,-65.62
2432.TW,25,25,2026-02,26.05
2433.TW,31,31,2026-02,-1.99
2434.TW,24,24,2026-02,-28.82
2436.TW,24,24,2026-02,9.26
2438.TW,26,26,2026-02,19.74
2439.TW,27,27,2026-02,15.51
2440.TW,28,28,2026-02,-42.62
2441.TW,24,24,2026-02,19.0
2442.TW,14,14,2026-02,9886.17
2444.TW,27,27,2026-02,-45.06
2449.TW,24,24,2026-02,41.04
2450.TW,27,27,2026-02,-13.93
2451.TW,24,24,2026-02,246.28
2453.TW,30,30,2026-02,4.68
2454.TW,24,24,2026-02,-15.63
2455.TW,27,27,2026-02,15.89
2457.TW,28,28,2026-02,-4.93
2458.TW,24,24,2026-02,-11.43
2459.TW,31,31,2026-02,-7.35
2460.TW,28,28,2026-02,14.42
2461.TW,31,31,2026-02,-6.12
2462.TW,28,28,2026-02,-4.51
2464.TW,31,31,2026-02,7.79
2465.TW,25,25,2026-02,127.43
2466.TW,26,26,2026-02,-31.02
2467.TW,28,28,2026-02,3.25
2468.TW,30,30,2026-02,-31.25
2471.TW,30,30,2026-02,29.0
2472.TW,28,28,2026-02,0.48
2474.TW,31,31,2026-02,-21.19
2476.TW,28,28,2026-02,13.53
2477.TW,31,31,2026-02,23.5
2478.TW,28,28,2026-02,-20.21
2480.TW,30,30,2026-02,11.04
2481.TW,24,24,2026-02,-0.98
2482.TW,31,31,2026-02,-1.01
2483.TW,28,28,2026-02,-8.49
2484.TW,28,28,2026-02,-18.05
2485.TW,27,27,2026-02,84.86
2486.TW,26,26,2026-02,5.74
2488.TW,31,31,2026-02,0.05
2489.TW,26,26,2026-02,6.97
2491.TW,26,26,2026-02,-42.24
2492.TW,28,28,2026-02,-3.73
2493.TW,28,28,2026-02,1.25
2495.TW,25,25,2026-02,6.74
2496.TW,20,20,2026-02,8.05
2497.TW,12,12,2026-02,15.18
2498.TW,27,27,2026-02,-13.92
2501.TW,14,14,2026-02,193.52
2504.TW,14,14,2026-02,-11.01
2505.TW,14,14,2026-02,713.37
2506.TW,14,14,2026-02,-61.49
2509.TW,14,14,2026-02,-0.97
2511.TW,14,14,2026-02,4.83
2514.TW,20,20,2026-02,25.54
2515.TW,14,14,2026-02,-12.73
2516.TW,14,14,2026-02,-38.28
2520.TW,14,14,2026-02,8.87
2524.TW,14,14,2026-02,-80.84
2527.TW,14,14,2026-02,-4.37
2528.TW,14,14,2026-02,-99.95
2530.TW,14,14,2026-02,-97.95
2534.TW,14,14,2026-02,-87.97
2535.TW,14,14,2026-02,18.31
2536.TW,14,14,2026-02,-61.75
2537.TW,14,14,2026-02,272.74
2538.TW,14,14,2026-02,2.61
2539.TW,14,14,2026-02,-33.58
2540.TW,14,14,2026-02,-33.02
2542.TW,14,14,2026-02,774.7
2543.TW,14,14,2026-02,5.89
2545.TW,14,14,2026-02,7.93
2546.TW,14,14,2026-02,-21.47
2547.TW,14,14,2026-02,-9.32
2548.TW,14,14,2026-02,19257.44
2597.TW,14,14,2026-02,-4.62
2601.TW,18,18,2026-02,-6.43
2603.TW,15,15,2026-02,-20.72
2605.TW,15,15,2026-02,87.46
2606.TW,15,15,2026-02,16.23
2607.TW,15,15,2026-02,-15.09
2608.TW,15,15,2026-02,-14.77
2609.TW,15,15,2026-02,-15.32
2610.TW,15,15,2026-02,14.57
2611.TW,15,15,2026-02,36.72
2612.TW,15,15,2026-02,-3.63
2613.TW,15,15,2026-02,2.09
2614.TW,20,20,2026-02,2.8
2615.TW,15,15,2026-02,-0.49
2616.TW,23,23,2026-02,-23.19
2617.TW,15,15,2026-02,6.33
2618.TW,15,15,2026-02,13.96
2630.TW,15,15,2026-02,21.13
2633.TW,15,15,2026-02,13.35
2634.TW,15,15,2026-02,-12.73
2636.TW,15,15,2026-02,-13.99
2637.TW,15,15,2026-02,29.94
2642.TW,15,15,2026-02,-11.46
2645.TW,15,15,2026-02,-5.63
2646.TW,15,15,2026-02,41.5
2701.TW,16,16,2026-02,8.16
2702.TW,16,16,2026-02,6.85
2704.TW,16,16,2026-02,23.12
2705.TW,16,16,2026-02,18.92
2706.TW,16,16,2026-02,-1.79
2707.TW,16,16,2026-02,24.17
2712.TW,16,16,2026-02,103.75
2722.TW,16,16,2026-02,54.65
2723.TW,16,16,2026-02,-12.8
2727.TW,16,16,2026-02,24.01
2731.TW,16,16,2026-02,41.04
2739.TW,16,16,2026-02,17.17
2748.TW,16,16,2026-02,42.62
2753.TW,16,16,2026-02,-5.74
2762.TW,37,37,2026-02,6.13
2801.TW,17,17,2026-02,4.38
2812.TW,17,17,2026-02,11.77
2816.TW,17,17,2026-02,27.07
2820.TW,17,17,2026-02,30.76
2832.TW,17,17,2026-02,-4.79
2834.TW,17,17,2026-02,-4.63
2836.TW,17,17,2026-02,4.57
