Ticker,Preferred_Period,Preferred_Interval,Preferred_Provider,Target_File
1712.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1712.TW_ohlcv.csv
1713.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1713.TW_ohlcv.csv
1714.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1714.TW_ohlcv.csv
1717.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1717.TW_ohlcv.csv
1718.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1718.TW_ohlcv.csv
1720.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1720.TW_ohlcv.csv
1721.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1721.TW_ohlcv.csv
1722.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1722.TW_ohlcv.csv
1723.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1723.TW_ohlcv.csv
1725.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1725.TW_ohlcv.csv
1726.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1726.TW_ohlcv.csv
1727.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1727.TW_ohlcv.csv
1730.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1730.TW_ohlcv.csv
1731.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1731.TW_ohlcv.csv
1732.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1732.TW_ohlcv.csv
1733.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1733.TW_ohlcv.csv
1734.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1734.TW_ohlcv.csv
1735.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1735.TW_ohlcv.csv
1736.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1736.TW_ohlcv.csv
1737.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1737.TW_ohlcv.csv
