Ticker SYMBOL,資料年月日,毛利率(%),營業利益率(%),單季EPS,ROE(%),稅後淨利率(%),營業現金流,預估殖利率(%),負債比率(%),本業獲利比(%)
1475.TW,2025-09-30,21.93,17.21,1.54,6.93,29.23,71066000.0,520.0,31.5,46.88
1476.TW,2025-12-31,30.19,19.16,,5.34,17.08,1818640000.0,527.0,15.41,90.57
1476.TW,2025-06-30,25.65,15.45,2.19,2.33,6.19,2412874000.0,527.0,28.85,180.94
1477.TW,2025-12-31,26.73,13.56,,6.13,10.97,685716000.0,685.0,40.7,100.09
1477.TW,2025-06-30,22.03,12.26,2.49,4.55,8.01,725153000.0,685.0,38.36,115.21
1503.TW,2025-12-31,17.2,7.15,,1.14,4.36,1763330000.0,251.0,38.68,107.12
1503.TW,2025-09-30,19.8,9.5,1.41,1.97,8.8,1055218000.0,251.0,35.44,83.75
1504.TW,2025-12-31,23.29,6.78,,1.07,6.87,2457859000.0,362.0,31.96,76.08
1504.TW,2025-09-30,24.44,11.1,0.75,1.69,10.96,-1251227000.0,362.0,33.32,74.53
1506.TW,2025-12-31,17.27,-0.28,,0.17,1.95,24295000.0,,12.95,-9.98
1506.TW,2025-09-30,13.1,-5.34,0.07,0.79,8.27,-25417000.0,,11.5,-56.25
1512.TW,2025-12-31,28.43,-3.59,,2.24,4.56,-45512000.0,,76.93,-67.5
1512.TW,2025-09-30,35.83,1.28,0.02,0.33,0.72,7589000.0,,77.41,176.92
1513.TW,2025-12-31,27.0,17.6,,4.93,14.5,4768274000.0,319.0,56.21,97.44
1513.TW,2025-09-30,25.87,19.36,2.31,5.73,16.76,2678645000.0,319.0,59.0,94.21
1514.TW,2025-12-31,20.06,11.68,,4.7,9.52,998775000.0,169.0,51.75,94.03
1514.TW,2025-09-30,17.74,9.8,0.88,3.99,8.62,-244553000.0,169.0,54.57,89.15
1515.TW,2025-12-31,13.22,0.81,,4.81,10.64,334240000.0,424.0,51.79,6.09
1515.TW,2025-06-30,13.22,-0.7,-0.47,-2.33,-7.17,40772000.0,424.0,50.07,7.5
1516.TW,2025-12-31,5.36,-14.33,,-1.06,-9.6,29359000.0,,1.07,119.5
1516.TW,2025-09-30,8.14,-26.37,0.19,3.72,50.44,-41511000.0,,1.85,-48.4
1517.TW,2025-12-31,1.66,-19.75,,-0.18,-1.29,-74269000.0,179.0,16.77,930.93
1517.TW,2025-09-30,-3.5,-23.45,-0.11,-0.68,-5.1,15250000.0,179.0,17.62,572.91
1519.TW,2025-12-31,42.2,20.05,,15.51,20.73,1821167000.0,113.0,61.65,82.04
1519.TW,2025-09-30,41.69,20.88,3.45,12.31,18.7,1761626000.0,113.0,64.56,88.46
1521.TW,2025-12-31,17.04,3.57,,2.16,4.14,8333000.0,407.0,37.66,68.88
1521.TW,2025-06-30,15.38,2.43,-0.38,-1.59,-3.33,14449000.0,407.0,37.59,-58.46
1522.TW,2025-12-31,15.03,0.21,,1.64,2.08,-175258000.0,948.0,73.19,6.76
1522.TW,2025-09-30,25.78,8.34,1.07,3.33,4.84,291348000.0,948.0,73.3,124.57
1524.TW,2025-12-31,27.89,16.48,,3.7,15.75,277456000.0,465.0,41.99,83.75
1524.TW,2025-09-30,21.68,10.05,0.46,2.64,12.03,37904000.0,465.0,43.93,68.51
1525.TW,2025-12-31,20.24,6.22,,1.07,15.54,13359000.0,439.0,11.97,20.35
1525.TW,2025-09-30,15.33,3.81,0.87,1.34,19.32,35357000.0,439.0,12.93,13.92
1526.TW,2025-12-31,29.84,-7.49,,-0.3,-2.53,13263000.0,,41.45,636.33
1526.TW,2025-09-30,7.86,-18.54,0.08,0.34,2.29,58966000.0,,41.55,-577.03
1527.TW,2025-09-30,18.42,3.28,0.8,2.33,14.84,66968000.0,672.0,11.65,18.25
1527.TW,2025-06-30,21.87,7.43,-0.69,-2.05,-12.82,48019000.0,672.0,16.64,-49.03
1528.TW,2025-12-31,31.45,1.3,,1.53,4.96,73534000.0,39.0,57.92,12.99
