Ticker,Reference_Price,Source
1598.TW,19.350000381469727,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1603.TW,32.099998474121094,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1604.TW,25.39999961853028,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1605.TW,31.450000762939453,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1608.TW,32.0,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1609.TW,32.70000076293945,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1611.TW,12.300000190734863,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1612.TW,34.75,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1614.TW,32.0,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1615.TW,45.650001525878906,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1616.TW,23.450000762939453,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1617.TW,14.800000190734863,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1618.TW,38.34999847412109,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1623.TW,181.5,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1626.TW,10.0,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1702.TW,36.150001525878906,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1707.TW,121.0,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1708.TW,39.5,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1709.TW,18.299999237060547,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1710.TW,13.800000190734863,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1711.TW,36.650001525878906,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
